#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   9.2000000000000000E+03   1.1178409470224619E+03   1.4217100144293504E+03   5.2300343779085015E+03   1.3064111579006180E-02   8.2390367018970940E+05
   9.3000000000000000E+03   1.1185025047450883E+03   1.4292929847422056E+03   5.1438762971876367E+03   1.2180737354950358E-02   8.2573644592433074E+05
   9.4000000000000000E+03   1.1205457309167828E+03   1.4368843619581817E+03   5.0897818970539020E+03   1.1312489246036516E-02   8.2751355022781657E+05
   9.5000000000000000E+03   1.1219212644675388E+03   1.4444921786976511E+03   5.0240316784477582E+03   1.0458178503637896E-02   8.2924140986871673E+05
   9.6000000000000000E+03   1.1234550756793979E+03   1.4521238576886335E+03   4.9636473183193921E+03   9.6166563144721388E-03   8.3092612071383349E+05
   9.7000000000000000E+03   1.1245500587303948E+03   1.4597862315237735E+03   4.8968542944370010E+03   8.7868124269039338E-03   8.3257345250888413E+05
   9.8000000000000000E+03   1.1260345380113156E+03   1.4674855628684527E+03   4.8394624925030857E+03   7.9675737183749606E-03   8.3418885970035358E+05
   9.9000000000000000E+03   1.1270910040146637E+03   1.4752275650373083E+03   4.7760445284569123E+03   7.1579028511428782E-03   8.3577748930722359E+05
   1.0000000000000000E+04   1.1290088417904844E+03   1.4830174228370543E+03   4.7296587499728221E+03   6.3567970653900926E-03   8.3734418952048628E+05
   1.0100000000000000E+04                      NaN   1.4908598135152149E+03                      NaN   5.5632869527082549E-03   8.3889351873323345E+05
   1.0200000000000000E+04   1.1289661350120875E+03   1.4987589277447466E+03   4.5756653651011247E+03   4.7764352884555336E-03   8.4042975614247029E+05
   1.0300000000000000E+04   1.1321473890728739E+03   1.5067184905788661E+03   4.5540817172447987E+03   3.9953359818593317E-03   8.4195691080195957E+05
   1.0400000000000000E+04   1.1316695628825560E+03   1.5147417822591274E+03   4.4748407321180166E+03   3.2191130261190336E-03   8.4347872926441778E+05
   1.0500000000000000E+04   1.1336023576639429E+03   1.5228316588254540E+03   4.4351377288872291E+03   2.4469194975693738E-03   8.4499870730906469E+05
